"method","model","gsm8k","mmlu","humaneval"
"Baseline","math","0.7407126611068992","0.4375445093291554","0.31097560975609756"
"Baseline","coder","0.579226686884003","0.5373878364905285","0.4024390243902439"
"Baseline","base","0.6300227445034117","0.6095285571855861","0.3719512195121951"
"Task Arithmetic","ta_coder_plus_math_mlp_lam_0p01","0.5458680818802123","0.5342543797179888","0.42073170731707316"
"Task Arithmetic","ta_coder_plus_math_mlp_lam_0p02","0.5473843821076573","0.5310497080188007","0.42073170731707316"
"Task Arithmetic","ta_coder_plus_math_mlp_lam_0p05","0.4609552691432904","0.5027773821392963","0.3353658536585366"
"Task Arithmetic","ta_math_plus_coder_mlp_exclude_layers_0_8_lam_0p05","0.7172100075815011","0.4299957271044011","0.3719512195121951"
"Task Arithmetic","ta_math_plus_coder_mlp_exclude_layers_19_27_lam_0p05","0.7232752084912812","0.4322746047571571","0.32926829268292684"
"Task Arithmetic","ta_math_plus_coder_mlp_exclude_layers_9_18_lam_0p05","0.7202426080363912","0.4375445093291554","0.2804878048780488"
"Task Arithmetic","ta_math_plus_coder_mlp_lam_0p01","0.7384382107657316","0.43654750035607465","0.3231707317073171"
"Task Arithmetic","ta_math_plus_coder_mlp_lam_0p02","0.7247915087187263","0.43597778094288564","0.35365853658536583"
"Task Arithmetic","ta_math_plus_coder_mlp_lam_0p05","0.7134192570128886","0.43270189431704886","0.3719512195121951"
"Task Arithmetic","ta_math_plus_coder_mlp_lam_0p075","0.6853677028051555","0.42785927930494233","0.34146341463414637"
"Task Arithmetic","ta_math_plus_coder_mlp_lam_0p1","0.6535253980288097","0.417461900014243","0.3048780487804878"
"Task Arithmetic","ta_math_plus_coder_mlp_weights_0_8_0p0_9_27_1p1_lam_0p05","0.7172100075815011","0.4299957271044011","0.3719512195121951"
"Task Arithmetic","ta_math_plus_coder_mlp_weights_0_8_0p0_9_27_1p2_lam_0p05","0.7164518574677786","0.43028058681099557","0.3719512195121951"
"TIES","ties_math_plus_coder_mlp_exclude_layers_0_8_lam_0p045_dens_0p8","0.7187263078089462","0.4307078763708873","0.3719512195121951"
"TIES","ties_math_plus_coder_mlp_exclude_layers_0_8_lam_0p055_dens_0p8","0.7088703563305534","0.42935479276456345","0.3780487804878049"
"TIES","ties_math_plus_coder_mlp_exclude_layers_0_8_lam_0p05_dens_0p2","0.7308567096285065","0.43740207947585813","0.34146341463414637"
"TIES","ties_math_plus_coder_mlp_exclude_layers_0_8_lam_0p05_dens_0p4","0.714177407126611","0.43377011821677824","0.36585365853658536"
"TIES","ties_math_plus_coder_mlp_exclude_layers_0_8_lam_0p05_dens_0p5","0.714177407126611","0.43120638085742774","0.36585365853658536"
"TIES","ties_math_plus_coder_mlp_exclude_layers_0_8_lam_0p05_dens_0p6","0.714177407126611","0.4311351659307791","0.3780487804878049"
"TIES","ties_math_plus_coder_mlp_exclude_layers_0_8_lam_0p05_dens_0p7","0.7126611068991661","0.43042301666429283","0.3780487804878049"
"TIES","ties_math_plus_coder_mlp_exclude_layers_0_8_lam_0p05_dens_0p8","0.7156937073540561","0.42971086739780656","0.3780487804878049"
"TIES","ties_math_plus_coder_mlp_exclude_layers_0_8_lam_0p05_dens_0p9","0.7149355572403336","0.43049423159094147","0.3719512195121951"
"TIES","ties_math_plus_coder_mlp_layers_19_27_lam_0p05_dens_0p8","0.7179681576952237","0.43412619285002135","0.3597560975609756"
"TIES","ties_math_plus_coder_mlp_layers_9_18_lam_0p05_dens_0p75","0.7285822592873389","0.4318473151972653","0.3902439024390244"
"TIES","ties_math_plus_coder_mlp_layers_9_18_lam_0p05_dens_0p8","0.7278241091736164","0.43134881071072495","0.3902439024390244"
"TIES","ties_math_plus_coder_mlp_layers_9_18_lam_0p05_dens_0p85","0.7293404094010614","0.43099273607748184","0.3902439024390244"
"SLERP","slerp_math_to_coder_mlp_layers_9_18_t_0p025","0.730098559514784","0.4371884346959123","0.3231707317073171"
"SLERP","slerp_math_to_coder_mlp_layers_9_18_t_0p05","0.731614859742229","0.4346246973365617","0.3353658536585366"
"SLERP","slerp_math_to_coder_mlp_layers_9_18_t_0p075","0.7308567096285065","0.4344110525566159","0.3719512195121951"
"SLERP","slerp_math_to_coder_mlp_layers_9_18_t_0p1","0.7293404094010614","0.4333428286568865","0.3780487804878049"
"SLERP","slerp_math_to_coder_mlp_layers_9_18_t_0p125","0.7134192570128886","0.4309215211508332","0.3902439024390244"
"SLERP","slerp_math_to_coder_mlp_layers_9_18_t_0p15","0.7126611068991661","0.43028058681099557","0.3780487804878049"
